,Quarter,Time,Tm,Detail,ARI,NOR
0,1.0,5:46,Cardinals,Zane Gonzalez 31 yard field goal,3,0
1,2.0,14:17,Saints,Wil Lutz 26 yard field goal,3,3
2,2.0,9:03,Saints,Latavius Murray 8 yard rush (Wil Lutz kick),3,10
3,2.0,5:23,Cardinals,Zane Gonzalez 31 yard field goal,6,10
4,3.0,5:33,Saints,Latavius Murray 15 yard pass from Drew Brees (Wil Lutz kick),6,17
5,3.0,1:47,Cardinals,Zane Gonzalez 50 yard field goal,9,17
6,4.0,12:52,Saints,Taysom Hill 5 yard pass from Drew Brees (Wil Lutz kick),9,24
7,4.0,5:23,Saints,Michael Thomas 9 yard pass from Drew Brees (Wil Lutz kick),9,31
