,Quarter,Tm,Detail,DEN,CHI
0,1.0,Bears,Bob Thomas 38 yard field goal,0,3
1,1.0,Bears,Willie Gault 61 yard pass from Jim McMahon (Bob Thomas kick),0,10
2,2.0,Bears,Walter Payton 72 yard rush (Bob Thomas kick),0,17
3,2.0,Bears,Bob Thomas 26 yard field goal,0,20
4,2.0,Bears,Matt Suhey 4 yard rush (Bob Thomas kick),0,27
