,Quarter,Time,Tm,Detail,CHI,DET
0,1,9:29,Lions,Lance Moore 20 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,1,4:48,Bears,Robbie Gould 27 yard field goal,3,7
2,2,12:48,Bears,Jeremy Langford 1 yard rush (Robbie Gould kick),10,7
3,2,9:17,Lions,Tim Wright 8 yard pass from Matthew Stafford (Matt Prater kick),10,14
4,2,4:50,Bears,Robbie Gould 23 yard field goal,13,14
5,2,0:53,Lions,Golden Tate 2 yard pass from Matthew Stafford (Matt Prater kick),13,21
6,3,5:12,Bears,Robbie Gould 38 yard field goal,16,21
7,3,1:05,Lions,Matt Prater 39 yard field goal,16,24
8,4,12:27,Bears,Alshon Jeffery 11 yard pass from Jay Cutler (Robbie Gould kick),23,24
9,4,7:50,Bears,Matt Forte 2 yard rush (Matt Forte pass from Jay Cutler ),31,24
10,4,2:46,Lions,Matt Prater 32 yard field goal,31,27
11,4,0:21,Lions,Calvin Johnson 6 yard pass from Matthew Stafford (Matt Prater kick),31,34
12,4,0:00,Bears,Robbie Gould 29 yard field goal,34,34
13,OT,2:29,Lions,Matt Prater 27 yard field goal,34,37
