,Quarter,Time,Tm,Detail,DAL,SFO
0,1.0,,49ers,Eric Davis 44 yard interception return (Doug Brien kick),0,7
1,1.0,,49ers,Ricky Watters 29 yard pass from Steve Young (Doug Brien kick),0,14
2,1.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),0,21
3,1.0,,Cowboys,Michael Irvin 44 yard pass from Troy Aikman (Chris Boniol kick),7,21
4,2.0,,49ers,Doug Brien 34 yard field goal,7,24
5,2.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),14,24
6,2.0,,49ers,Jerry Rice 28 yard pass from Steve Young (Doug Brien kick),14,31
7,3.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),21,31
8,3.0,,49ers,Steve Young 3 yard rush (Doug Brien kick),21,38
9,4.0,,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Chris Boniol kick),28,38
