,Quarter,Tm,Detail,DAL,NOR
0,1.0,Saints,Danny Abramowicz 9 yard pass from Gary Cuozzo (Charlie Durkee kick),0,7
1,1.0,Cowboys,Don Perkins 14 yard rush (Danny Villanueva kick),7,7
2,2.0,Cowboys,Dan Reeves 5 yard rush (Danny Villanueva kick),14,7
3,3.0,Saints,Charlie Durkee 11 yard field goal,14,10
4,3.0,Cowboys,Danny Villanueva 21 yard field goal,17,10
5,3.0,Cowboys,Frank Clarke 56 yard rush (Danny Villanueva kick),24,10
6,4.0,Cowboys,Danny Villanueva 12 yard field goal,27,10
