,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Mike Munchak 8 yard offensive fumble return (Tony Zendejas kick),0,7
1,2.0,Browns,Matt Bahr 34 yard field goal,3,7
2,3.0,Browns,Matt Bahr 29 yard field goal,6,7
3,3.0,Browns,Matt Bahr 45 yard field goal,9,7
4,4.0,Oilers,Tony Zendejas 35 yard field goal,9,10
5,4.0,Oilers,Tony Zendejas 36 yard field goal,9,13
6,4.0,Browns,Reggie Langhorne 55 yard pass from Bernie Kosar (Matt Bahr kick),16,13
7,4.0,Browns,Earnest Byner 1 yard rush (Matt Bahr kick),23,13
8,4.0,Oilers,Butch Woolfolk 20 yard pass from Warren Moon (Tony Zendejas kick),23,20
