,Quarter,Tm,Detail,KAN,MIN
0,1.0,Vikings,Rick Danmeier 43 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 30 yard field goal,3,3
2,3.0,Chiefs,Stan Rome 15 yard pass from Steve Fuller (Nick Lowery kick),10,3
3,3.0,Vikings,Rick Danmeier 33 yard field goal,10,6
