,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Chuck Hanneman 34 yard field goal,0,3
1,2.0,Lions,Phil Martinovich 37 yard field goal,0,6
2,3.0,Giants,Tuffy Leemans 47 yard pass from Len Barnum (Ward Cuff kick),7,6
3,3.0,Lions,Phil Martinovich 19 yard field goal,7,9
4,3.0,Giants,Al Owen 5 yard pass from Ed Danowski (Ken Strong kick),14,9
5,4.0,Lions,Kent Ryan 6 yard pass from Dwight Sloan,14,15
6,4.0,Lions,Phil Martinovich 33 yard field goal,14,18
