,Quarter,Tm,Detail,PHI,DET
0,2.0,Eagles,Pete Pihos 23 yard pass from Adrian Burk (Bobby Walston kick),7,0
1,2.0,Lions,Doak Walker 23 yard field goal,7,3
2,3.0,Eagles,Bobby Walston 75 yard pass from Adrian Burk,13,3
3,3.0,Lions,Doak Walker 34 yard field goal,13,6
4,4.0,Lions,Lew Carpenter 1 yard rush (Doak Walker kick),13,13
