,Quarter,Time,Tm,Detail,LAR,DAL
0,1.0,1:53,Cowboys,Jason Witten 19 yard pass from Dak Prescott (Kai Forbath kick),0,7
1,2.0,13:03,Rams,Todd Gurley 2 yard pass from Jared Goff (Greg Zuerlein kick),7,7
2,2.0,11:49,Cowboys,Tavon Austin 59 yard pass from Dak Prescott (Kai Forbath kick),7,14
3,2.0,2:00,Cowboys,Ezekiel Elliott 1 yard rush (Kai Forbath kick),7,21
4,2.0,0:20,Cowboys,Ezekiel Elliott 3 yard rush (Kai Forbath kick),7,28
5,3.0,11:14,Cowboys,Kai Forbath 50 yard field goal,7,31
6,4.0,15:00,Cowboys,Kai Forbath 42 yard field goal,7,34
7,4.0,6:44,Cowboys,Kai Forbath 42 yard field goal,7,37
8,4.0,3:22,Rams,Todd Gurley 7 yard rush (Todd Gurley run),15,37
9,4.0,3:09,Cowboys,Tony Pollard 44 yard rush (Kai Forbath kick),15,44
10,4.0,0:45,Rams,Cooper Kupp 7 yard pass from Jared Goff (pass failed),21,44
