,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,John McDaniel 4 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2.0,Cowboys,Rafael Septien 34 yard field goal,3,7
2,2.0,Redskins,John Riggins 3 yard rush (Mark Moseley kick),3,14
3,3.0,Cowboys,Rafael Septien 37 yard field goal,6,14
4,3.0,Redskins,Clarence Harmon 10 yard pass from Joe Theismann (Mark Moseley kick),6,21
5,3.0,Redskins,Mark Moseley 46 yard field goal,6,24
6,4.0,Cowboys,Drew Pearson 19 yard pass from Roger Staubach (Rafael Septien kick),13,24
7,4.0,Redskins,Ricky Thompson 11 yard pass from Joe Theismann (Mark Moseley kick),13,31
8,4.0,Cowboys,Drew Pearson 9 yard pass from Danny White (Rafael Septien kick),20,31
9,4.0,Redskins,Mark Moseley 45 yard field goal,20,34
