,Quarter,Tm,Detail,MIA,KAN
0,1.0,Dolphins,Marlin Briscoe 14 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Dolphins,Garo Yepremian 47 yard field goal,10,0
2,2.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),17,0
3,3.0,Dolphins,Garo Yepremian 15 yard field goal,20,0
4,3.0,Chiefs,Jan Stenerud 40 yard field goal,20,3
5,4.0,Chiefs,Willie Frazier 4 yard pass from Len Dawson (Jan Stenerud kick),20,10
