,Quarter,Time,Tm,Detail,NYJ,CIN
0,1.0,9:12,Jets,Sam Ficken 42 yard field goal,3,0
1,1.0,1:17,Bengals,Tyler Boyd 17 yard pass from Andy Dalton (Randy Bullock kick),3,7
2,2.0,9:17,Bengals,Randy Bullock 24 yard field goal,3,10
3,2.0,1:49,Bengals,Joe Mixon 5 yard rush (Randy Bullock kick),3,17
4,2.0,0:09,Jets,Sam Ficken 39 yard field goal,6,17
5,3.0,5:46,Bengals,"Safety, Kelvin Beachum Offensive Holding in end zone",6,19
6,3.0,1:19,Bengals,Randy Bullock 47 yard field goal,6,22
