,Quarter,Time,Tm,Detail,IND,SDG
0,1,2:59,Colts,Joseph Addai 1 yard rush (Adam Vinatieri kick),7,0
1,2,10:15,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),7,7
2,2,6:46,Colts,Adam Vinatieri 43 yard field goal,10,7
3,2,0:42,Chargers,Darren Sproles 9 yard rush (Nate Kaeding kick),10,14
4,3,8:10,Colts,Reggie Wayne 72 yard pass from Peyton Manning (Adam Vinatieri kick),17,14
5,4,0:31,Chargers,Nate Kaeding 26 yard field goal,17,17
6,OT,8:40,Chargers,Darren Sproles 22 yard rush,17,23
