,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,12:42,Cowboys,Eddie Murray 20 yard field goal,0,3
1,1.0,1:03,Cowboys,Eddie Murray 21 yard field goal,0,6
2,2.0,6:35,Cowboys,Rocket Ismail 4 yard pass from Troy Aikman (Eddie Murray kick),0,13
3,2.0,0:25,Cowboys,Eddie Murray 27 yard field goal,0,16
4,3.0,5:24,Giants,Cary Blanchard 29 yard field goal,3,16
5,3.0,4:14,Cowboys,Jason Tucker 90 yard pass from Troy Aikman (Eddie Murray kick),3,23
6,4.0,10:19,Giants,Joe Montgomery 1 yard rush (Cary Blanchard kick),10,23
7,4.0,4:09,Cowboys,Eddie Murray 40 yard field goal,10,26
8,4.0,0:57,Giants,Brian Alford 7 yard pass from Kerry Collins (Joe Montgomery run),18,26
