,Quarter,Tm,Detail,NYG,ATL
0,1,Falcons,Junior Miller 29 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,7
1,2,Giants,Mike Dennis special teams fumble recovery in end zone (Joe Danelo kick),7,7
2,2,Falcons,Wallace Francis 5 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,14
3,3,Falcons,Mick Luckhurst 29 yard field goal,7,17
4,3,Giants,Dave Young 2 yard pass from Phil Simms (Joe Danelo kick),14,17
5,3,Giants,Joe Danelo 27 yard field goal,17,17
6,4,Giants,Johnny Perkins 12 yard pass from Phil Simms (Joe Danelo kick),24,17
7,4,Falcons,Lynn Cain 3 yard rush (Mick Luckhurst kick),24,24
8,OT,Giants,Joe Danelo 40 yard field goal,27,24
