,Quarter,Tm,Detail,WAS,IND
0,1.0,Redskins,Art Monk 10 yard pass from Joe Theismann (Mark Moseley kick),7,0
1,1.0,Colts,Alvin Moore 2 yard rush (Raul Allegre kick),7,7
2,2.0,Redskins,Art Monk 48 yard pass from Joe Theismann (Mark Moseley kick),14,7
3,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),21,7
4,2.0,Redskins,Art Monk 16 yard pass from Joe Theismann (Mark Moseley kick),28,7
5,3.0,Redskins,Mark McGrath 11 yard pass from Joe Theismann (Mark Moseley kick),35,7
