,Quarter,Tm,Detail,DET,IND
0,1,Colts,Owen Gill 1 yard rush (Raul Allegre kick),0,7
1,2,Lions,Eddie Murray 37 yard field goal,3,7
2,3,Lions,Eddie Murray 35 yard field goal,6,7
3,4,Colts,Frank Middleton 1 yard rush (Raul Allegre kick),6,14
