,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Nick Lowery 47 yard field goal,3,0
1,2.0,Chiefs,Eric Harris 56 yard interception return (Nick Lowery kick),10,0
2,2.0,Broncos,Gerald Willhite 2 yard rush,10,6
3,2.0,Broncos,Rick Upchurch 78 yard punt return (Rich Karlis kick),10,13
4,3.0,Chiefs,Al Dixon 1 yard pass from Bill Kenney (Nick Lowery kick),17,13
5,3.0,Broncos,Rich Karlis 44 yard field goal,17,16
6,3.0,Chiefs,Nick Lowery 19 yard field goal,20,16
7,4.0,Chiefs,Nick Lowery 22 yard field goal,23,16
8,4.0,Chiefs,Carlos Carson 33 yard pass from Bill Kenney (Nick Lowery kick),30,16
9,4.0,Chiefs,Gary Barbaro 43 yard interception return (Nick Lowery kick),37,16
