,Quarter,Tm,Detail,SEA,KAN
0,1.0,Seahawks,John Kasay 55 yard field goal,3,0
1,1.0,Chiefs,Willie Davis 14 yard pass from Joe Montana (Nick Lowery kick),3,7
2,1.0,Chiefs,Nick Lowery 23 yard field goal,3,10
3,2.0,Chiefs,Todd McNair 3 yard rush (Nick Lowery kick),3,17
4,2.0,Chiefs,Albert Lewis special teams fumble recovery in end zone (Nick Lowery kick),3,24
5,2.0,Seahawks,Tracy Johnson 2 yard pass from Rick Mirer (John Kasay kick),10,24
6,2.0,Chiefs,Nick Lowery 47 yard field goal,10,27
7,4.0,Seahawks,John Williams 23 yard rush (John Kasay kick),17,27
8,4.0,Seahawks,Ferrell Edmunds 4 yard pass from Rick Mirer (John Kasay kick),24,27
9,4.0,Chiefs,Todd McNair 2 yard rush (Nick Lowery kick),24,34
