,Quarter,Tm,Detail,BUF,CHI
0,2.0,All-Americans,Tommy Hughitt unknown yard field goal,3,0
1,2.0,Bears,Dutch Sternaman unknown yard rush,3,6
2,2.0,Bears,Dutch Sternaman 30 yard field goal,3,9
3,4.0,Bears,Dutch Sternaman 40 yard field goal,3,12
4,4.0,Bears,Dutch Sternaman unknown yard rush,3,18
