,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Morten Andersen 39 yard field goal,0,3
1,1.0,49ers,Jerry Rice 8 yard pass from Joe Montana (Ray Wersching kick),7,3
2,2.0,49ers,Ron Heller 39 yard pass from Joe Montana (Ray Wersching kick),14,3
3,2.0,49ers,Ray Wersching 31 yard field goal,17,3
4,2.0,Saints,Morten Andersen 49 yard field goal,17,6
5,3.0,Saints,Morten Andersen 19 yard field goal,17,9
6,3.0,Saints,Morten Andersen 19 yard field goal,17,12
7,4.0,Saints,Alvin Toles 11 yard blocked punt return (Morten Andersen kick),17,19
8,4.0,49ers,Mike Wilson 14 yard pass from Joe Montana (Ray Wersching kick),24,19
9,4.0,Saints,Morten Andersen 37 yard field goal,24,22
