,Quarter,Tm,Detail,SDG,CIN
0,1.0,Chargers,Dennis Partee 29 yard field goal,3,0
1,1.0,Bengals,Greg Cook 9 yard rush (Horst Muhlmann kick),3,7
2,2.0,Chargers,Dennis Partee 14 yard field goal,6,7
3,2.0,Bengals,Horst Muhlmann 17 yard field goal,6,10
4,2.0,Chargers,Brad Hubbert 2 yard rush (Dennis Partee kick),13,10
5,2.0,Bengals,Speedy Thomas 9 yard pass from Greg Cook (Horst Muhlmann kick),13,17
6,3.0,Bengals,Bob Trumpy 78 yard pass from Greg Cook (Horst Muhlmann kick),13,24
7,3.0,Chargers,Bob Briggs defensive fumble recovery in end zone (Dennis Partee kick),20,24
8,3.0,Bengals,Bruce Coslet 39 yard pass from Greg Cook (Horst Muhlmann kick),20,31
9,4.0,Bengals,Horst Muhlmann 23 yard field goal,20,34
