,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Bobby Walston 30 yard field goal,3,0
1,2.0,Eagles,Steve Van Buren 2 yard rush (Bobby Walston kick),10,0
2,3.0,Browns,Lou Groza 37 yard field goal,10,3
3,3.0,Browns,Ken Carpenter 24 yard pass from Otto Graham (Lou Groza kick),10,10
4,3.0,Eagles,Adrian Burk 1 yard rush (Bobby Walston kick),17,10
5,4.0,Browns,Dante Lavelli 17 yard pass from Otto Graham (Lou Groza kick),17,17
6,4.0,Browns,Lou Groza 13 yard field goal,17,20
