,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Bill Dudley 28 yard field goal,0,3
1,2.0,Lions,John Greene 7 yard pass from Clyde LeForce (Bill Dudley kick),0,10
2,2.0,Rams,Elroy Hirsch 48 yard pass from Bob Waterfield (Bob Waterfield kick),7,10
3,3.0,Rams,Fred Gehrke 25 yard touchdown on a lateral (Bob Waterfield kick),14,10
4,4.0,Rams,Jerry Williams 25 yard interception return (Bob Waterfield kick),21,10
