,Quarter,Tm,Detail,BUF,MIA
0,1,Bills,Byron Franklin 9 yard pass from Joe Ferguson (Joe Danelo kick),7,0
1,2,Bills,Byron Franklin 30 yard pass from Joe Ferguson (Joe Danelo kick),14,0
2,2,Dolphins,Woody Bennett 1 yard rush (Uwe von Schamann kick),14,7
3,3,Dolphins,Mark Duper 63 yard pass from Dan Marino (Uwe von Schamann kick),14,14
4,3,Bills,Booker Moore 11 yard pass from Joe Ferguson (Joe Danelo kick),21,14
5,3,Dolphins,Mark Duper 48 yard pass from Mark Clayton (Uwe von Schamann kick),21,21
6,4,Bills,Joe Cribbs 4 yard pass from Joe Ferguson (Joe Danelo kick),28,21
7,4,Dolphins,Nat Moore 2 yard pass from Dan Marino (Uwe von Schamann kick),28,28
8,4,Dolphins,Mark Clayton 14 yard pass from Dan Marino (Uwe von Schamann kick),28,35
9,4,Bills,Joe Cribbs 1 yard pass from Joe Ferguson (Joe Danelo kick),35,35
10,OT,Bills,Joe Danelo 36 yard field goal,38,35
