,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Bill Davis fumble recovery in end zone (Bill Daddio kick),0,7
1,2.0,Cardinals,Marshall Goldberg 6 yard rush (Bill Daddio kick),0,14
2,2.0,Bears,Norm Standlee 2 yard rush (Joe Maniaci kick),7,14
3,2.0,Bears,Joe Maniaci unknown yard rush (Joe Maniaci kick),14,14
4,2.0,Cardinals,Bill Daddio 32 yard field goal,14,17
5,3.0,Bears,Hugh Gallarneau 18 yard rush (Bob Snyder kick),21,17
6,4.0,Cardinals,Bert Johnson 26 yard pass from Ray Mallouf (Bill Daddio kick),21,24
7,4.0,Bears,George McAfee 39 yard pass from Sid Luckman (Bob Snyder kick),28,24
8,4.0,Bears,George McAfee 70 yard rush,34,24
