,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,Tony Dorsett 13 yard rush,6,0
1,2.0,Steelers,Franco Harris 61 yard rush (Roy Gerela kick),6,7
2,2.0,Cowboys,Jay Saldi 23 yard pass from Roger Staubach (Efren Herrera kick),13,7
3,2.0,Steelers,Lynn Swann 9 yard pass from Terry Bradshaw (Roy Gerela kick),13,14
4,3.0,Steelers,John Stallworth 28 yard pass from Terry Bradshaw (Roy Gerela kick),13,21
5,3.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),13,28
