,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Jim Brown 5 yard pass from Tommy O'Connell (Lou Groza kick),0,7
1,1.0,Browns,Chet Hanulak 64 yard rush (Lou Groza kick),0,14
2,2.0,Browns,Lou Groza 22 yard field goal,0,17
3,3.0,Browns,Billy Reynolds 5 yard rush (Lou Groza kick),0,24
4,4.0,Eagles,Jimmy Harris 65 yard interception return (Bobby Walston kick),7,24
