,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,"Safety, Montoya penalized for holding in end zone",0,2
1,2.0,Bengals,Stanley Wilson 13 yard pass from Boomer Esiason (Jim Breech kick),7,2
2,3.0,Steelers,Louis Lipps 9 yard pass from Bubby Brister (Gary Anderson kick),7,9
3,3.0,Bengals,Jim Breech 32 yard field goal,10,9
4,4.0,Steelers,Gary Anderson 19 yard field goal,10,12
5,4.0,Bengals,Eddie Brown 65 yard pass from Boomer Esiason (Jim Breech kick),17,12
