,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,11:39,Falcons,Younghoe Koo 38 yard field goal,3,0
1,1.0,1:18,Falcons,Kenjon Barner 78 yard punt return (Younghoe Koo kick),10,0
2,2.0,5:45,Falcons,Younghoe Koo 23 yard field goal,13,0
3,2.0,1:38,Falcons,Qadree Ollison 2 yard rush (Younghoe Koo kick),20,0
4,3.0,6:47,Falcons,Calvin Ridley 6 yard pass from Matt Ryan (pass failed),26,0
5,4.0,13:04,Panthers,Joey Slye 31 yard field goal,26,3
6,4.0,7:05,Falcons,Younghoe Koo 29 yard field goal,29,3
