,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,9:33,Patriots,Eugene Wilson 5 yard interception return (Stephen Gostkowski kick),0,7
1,2.0,12:45,Patriots,Stephen Gostkowski 26 yard field goal,0,10
2,2.0,7:15,Jets,David Bowens 26 yard blocked punt return (Mike Nugent kick),7,10
3,2.0,1:05,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),7,17
4,4.0,6:13,Jets,Mike Nugent 33 yard field goal,10,17
5,4.0,3:21,Patriots,Stephen Gostkowski 34 yard field goal,10,20
