,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Eddie Murray 25 yard field goal,3,0
1,2.0,Buccaneers,Steve Christie 55 yard field goal,3,3
2,2.0,Buccaneers,Steve Christie 28 yard field goal,3,6
3,2.0,Lions,Eddie Murray 33 yard field goal,6,6
4,3.0,Lions,Rodney Peete 1 yard rush (Eddie Murray kick),13,6
5,3.0,Buccaneers,Steve Christie 21 yard field goal,13,9
6,4.0,Buccaneers,Gary Anderson 10 yard rush (Steve Christie kick),13,16
7,4.0,Lions,Robert Clark 5 yard pass from Rodney Peete (Eddie Murray kick),20,16
8,4.0,Buccaneers,John Harvey 3 yard pass from Vinny Testaverde (Steve Christie kick),20,23
