,Quarter,Tm,Detail,WAS,DET
0,1,Lions,Robert Clark 33 yard pass from Rodney Peete (Rich Karlis kick),0,7
1,1,Redskins,Gerald Riggs 8 yard rush (Chip Lohmiller kick),7,7
2,2,Lions,Rodney Peete 10 yard rush (Rich Karlis kick),7,14
3,2,Lions,William White 34 yard interception return (Rich Karlis kick),7,21
4,2,Redskins,Jimmie Johnson 4 yard pass from Stan Humphries (Chip Lohmiller kick),14,21
5,2,Lions,Aubrey Matthews 24 yard pass from Rodney Peete (Rich Karlis kick),14,28
6,3,Lions,Barry Sanders 45 yard rush (Rich Karlis kick),14,35
7,3,Redskins,Gerald Riggs 3 yard rush (Chip Lohmiller kick),21,35
8,3,Lions,Rich Karlis 26 yard field goal,21,38
9,4,Redskins,Chip Lohmiller 38 yard field goal,24,38
10,4,Redskins,Gary Clark 34 yard pass from Jeff Rutledge (Chip Lohmiller kick),31,38
11,4,Redskins,Jeff Rutledge 12 yard rush (Chip Lohmiller kick),38,38
12,OT,Redskins,Chip Lohmiller 34 yard field goal,41,38
