,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Len Younce 22 yard field goal,3,0
1,1.0,Rams,Fred Gehrke 14 yard field goal,3,3
2,1.0,Rams,Mel Bleeker 35 yard fumble return (Fred Gehrke kick),3,10
3,2.0,Rams,Fred Gehrke 66 yard punt return (Fred Gehrke kick),3,17
4,2.0,Giants,Ray Poole 1 yard pass from Paul Governali (Len Younce kick),10,17
5,2.0,Rams,Pat West 1 yard rush (Fred Gehrke kick),10,24
6,3.0,Rams,Bob Waterfield 15 yard field goal,10,27
7,4.0,Rams,Kenny Washington 23 yard rush (Fred Gehrke kick),10,34
