,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Marion Butts 17 yard rush (John Carney kick),0,7
1,2.0,Chargers,Marion Butts 1 yard rush (John Carney kick),0,14
2,4.0,Seahawks,John Williams 13 yard pass from Dave Krieg (John Kasay kick),7,14
3,4.0,Seahawks,Jeff Chadwick 20 yard pass from Dave Krieg (John Kasay kick),14,14
4,4.0,Chargers,John Carney 54 yard field goal,14,17
