,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Estus Hood 41 yard interception return (Jan Stenerud kick),0,7
1,1.0,Packers,Mark Lee 94 yard punt return (Jan Stenerud kick),0,14
2,1.0,Packers,Jan Stenerud 32 yard field goal,0,17
3,1.0,Packers,Jan Stenerud 28 yard field goal,0,20
4,2.0,Giants,Gary Shirk 18 yard pass from Scott Brunner (Joe Danelo kick),7,20
5,2.0,Giants,Johnny Perkins 24 yard pass from Scott Brunner (Joe Danelo kick),14,20
6,2.0,Packers,Jan Stenerud 35 yard field goal,14,23
7,4.0,Giants,Mike Friede 7 yard pass from Scott Brunner (Joe Danelo kick),21,23
8,4.0,Giants,Joe Danelo 33 yard field goal,24,23
9,4.0,Packers,Jan Stenerud 23 yard field goal,24,26
