,Quarter,Tm,Detail,NYY,PHI
0,1.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),0,7
1,2.0,Eagles,Steve Van Buren 5 yard rush (Cliff Patton kick),0,14
2,2.0,Eagles,Clyde Scott 15 yard rush (Cliff Patton kick),0,21
3,3.0,Eagles,Jack Ferrante 15 yard pass from Tommy Thompson (Cliff Patton kick),0,28
4,3.0,Eagles,Pat McHugh 21 yard interception return (Cliff Patton kick),0,35
5,3.0,Eagles,Neill Armstrong 16 yard pass from Bill Mackrides (Cliff Patton kick),0,42
