,Quarter,Tm,Detail,DEN,PIT
0,2.0,Steelers,Gary Anderson 25 yard field goal,0,3
1,2.0,Broncos,Clint Sampson 24 yard pass from John Elway (Rich Karlis kick),7,3
2,2.0,Broncos,Rich Karlis 42 yard field goal,10,3
3,2.0,Steelers,Gary Anderson 34 yard field goal,10,6
4,3.0,Steelers,Gary Anderson 24 yard field goal,10,9
5,4.0,Broncos,Steve Sewell 12 yard rush (Rich Karlis kick),17,9
6,4.0,Steelers,Louis Lipps 31 yard pass from David Woodley (Gary Anderson kick),17,16
7,4.0,Steelers,Mike Merriweather 35 yard interception return (Gary Anderson kick),17,23
8,4.0,Broncos,Steve Sewell 2 yard rush (Rich Karlis kick),24,23
9,4.0,Broncos,Mike Harden 42 yard interception return (Rich Karlis kick),31,23
