,Quarter,Tm,Detail,CRD,NYG
0,2.0,Giants,Bill Paschal 4 yard rush (Ken Strong kick),0,7
1,2.0,Giants,"Safety, McCarthys punt blocked out of end zone by",0,9
2,3.0,Giants,Bill Paschal 3 yard rush (Ken Strong kick),0,16
3,4.0,Giants,Bill Paschal 45 yard rush (Ward Cuff kick),0,23
