,Quarter,Time,Tm,Detail,PHI,CAR
0,1.0,12:26,Panthers,John Kasay 38 yard field goal,0,3
1,2.0,13:00,Panthers,Muhsin Muhammad 4 yard pass from Steve Beuerlein (John Kasay kick),0,10
2,2.0,3:04,Panthers,Muhsin Muhammad 12 yard pass from Steve Beuerlein (John Kasay kick),0,17
3,2.0,2:00,Panthers,John Kasay 28 yard field goal,0,20
4,2.0,0:06,Panthers,John Kasay 33 yard field goal,0,23
5,3.0,7:35,Panthers,John Kasay 22 yard field goal,0,26
6,4.0,14:32,Panthers,Patrick Jeffers 22 yard pass from Steve Beuerlein (John Kasay kick),0,33
7,4.0,2:37,Eagles,Duce Staley 14 yard rush (Norm Johnson kick),7,33
