,Quarter,Tm,Detail,FRN,CHI
0,1.0,Yellow Jackets,Two-Bits Homan 30 yard pass from Ken Mercer,6,0
1,2.0,Bears,Dick Sturtridge unknown yard pass from Paddy Driscoll (Paddy Driscoll kick),6,7
2,2.0,Bears,Paddy Driscoll 3 yard rush (Paddy Driscoll kick),6,14
3,2.0,Bears,Buck White 2 yard rush (Paddy Driscoll kick),6,21
4,3.0,Bears,Bill Senn kickoff in end zone (Ted Drews pass from Bill Senn),6,28
