,Quarter,Tm,Detail,NYG,WAS
0,1,Redskins,Jimmy Johnston 31 yard pass from Sammy Baugh (Bob Masterson kick),0,7
1,2,Redskins,Wilbur Moore 12 yard rush (Bo Russell kick),0,14
2,3,Giants,Jim Poole 19 yard pass from Tuffy Leemans (Ward Cuff kick),7,14
3,4,Redskins,Dick Todd 76 yard punt return (Bo Russell kick),7,21
