,Quarter,Tm,Detail,DAY,FRN
0,1.0,Triangles,Fay Abbott 42 yard field goal,3,0
1,3.0,Yellow Jackets,Wally Diehl 1 yard rush (Ken Mercer kick),3,7
2,4.0,Yellow Jackets,Ken Mercer unknown yard rush,3,13
3,4.0,Triangles,Frank Sillin 3 yard rush,9,13
