,Quarter,Time,Tm,Detail,CHI,WAS
0,1.0,10:28,Bears,Paul Edinger 39 yard field goal,3,0
1,1.0,4:39,Redskins,Stephen Davis 3 yard rush (Brett Conway kick),3,7
2,2.0,14:52,Bears,Leon Johnson 32 yard rush (Paul Edinger kick),10,7
3,2.0,7:50,Redskins,Brett Conway 34 yard field goal,10,10
4,3.0,4:54,Redskins,Brett Conway 26 yard field goal,10,13
5,4.0,9:55,Bears,Brian Urlacher 27 yard pass from Brad Maynard (Paul Edinger kick),17,13
6,4.0,3:23,Bears,Paul Edinger 37 yard field goal,20,13
7,4.0,0:20,Redskins,"Safety,",20,15
