,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Robert Newhouse 8 yard rush (Efren Herrera kick),7,0
1,2.0,Cowboys,Drew Pearson 40 yard pass from Roger Staubach (Efren Herrera kick),14,0
2,2.0,Cowboys,Efren Herrera 24 yard field goal,17,0
3,3.0,Giants,Jim Robinson 30 yard pass from Craig Morton (Joe Danelo kick),17,7
4,4.0,Cowboys,Doug Dennison 4 yard rush (Efren Herrera kick),24,7
5,4.0,Giants,Larry Csonka 6 yard rush (Joe Danelo kick),24,14
