,Quarter,Time,Tm,Detail,LAR,SEA
0,1.0,12:29,Rams,Greg Zuerlein 47 yard field goal,3,0
1,1.0,4:59,Rams,Greg Zuerlein 32 yard field goal,6,0
2,1.0,0:59,Seahawks,Tyler Lockett 13 yard pass from Russell Wilson (Jason Myers kick),6,7
3,2.0,8:15,Seahawks,D.K. Metcalf 40 yard pass from Russell Wilson (Jason Myers kick),6,14
4,2.0,0:13,Rams,Cooper Kupp 9 yard pass from Jared Goff (Greg Zuerlein kick),13,14
5,3.0,12:11,Rams,Todd Gurley 8 yard rush (Greg Zuerlein kick),20,14
6,3.0,5:50,Seahawks,David Moore 10 yard pass from Russell Wilson (Jason Myers kick),20,21
7,3.0,3:10,Rams,Todd Gurley 1 yard rush (run failed),26,21
8,4.0,13:41,Seahawks,Jason Myers 42 yard field goal,26,24
9,4.0,9:23,Rams,Greg Zuerlein 36 yard field goal,29,24
10,4.0,2:34,Seahawks,Chris Carson 5 yard pass from Russell Wilson (pass failed),29,30
