,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,14:43,Giants,Orleans Darkwa 75 yard rush (Aldrick Rosas kick failed),0,6
1,1.0,12:42,Giants,Hunter Sharp 16 yard pass from Eli Manning (pass failed),0,12
2,1.0,7:55,Redskins,Kirk Cousins 12 yard rush (Dustin Hopkins kick),7,12
3,1.0,4:49,Giants,Aldrick Rosas 23 yard field goal,7,15
4,2.0,0:00,Redskins,Dustin Hopkins 49 yard field goal,10,15
5,4.0,14:09,Giants,Aldrick Rosas 29 yard field goal,10,18
