,Quarter,Tm,Detail,KAN,HOU
0,1.0,Oilers,Ken Burrough 48 yard pass from Dan Pastorini (Tom Dempsey kick),0,7
1,2.0,Oilers,Tim Wilson 11 yard rush (Tom Dempsey kick),0,14
2,2.0,Chiefs,Jan Stenerud 30 yard field goal,3,14
3,2.0,Chiefs,Jan Stenerud 26 yard field goal,6,14
4,3.0,Oilers,Tim Wilson 1 yard rush,6,20
5,4.0,Oilers,Ken Burrough 7 yard pass from Dan Pastorini (Tom Dempsey kick),6,27
6,4.0,Oilers,Don Hardeman 3 yard pass from Dan Pastorini (Tom Dempsey kick),6,34
7,4.0,Chiefs,Walter White 36 yard pass from Tony Adams (Jan Stenerud kick),13,34
8,4.0,Chiefs,Willie Lee 10 yard defensive fumble return (Jan Stenerud kick),20,34
