,Quarter,Tm,Detail,RAI,DET
0,1.0,Lions,Barry Sanders 35 yard rush (Eddie Murray kick),0,7
1,1.0,Raiders,Willie Gault 68 yard pass from Jay Schroeder (Jeff Jaeger kick),7,7
2,1.0,Lions,Barry Sanders 5 yard rush (Eddie Murray kick),7,14
3,1.0,Raiders,Marcus Allen 2 yard rush (Jeff Jaeger kick),14,14
4,1.0,Lions,Jeff Campbell 11 yard pass from Rodney Peete (Eddie Murray kick),14,21
5,2.0,Lions,Eddie Murray 47 yard field goal,14,24
6,2.0,Raiders,Bo Jackson 55 yard rush (Jeff Jaeger kick),21,24
7,3.0,Raiders,Mervyn Fernandez 10 yard pass from Jay Schroeder (Jeff Jaeger kick),28,24
8,3.0,Raiders,Tim Brown 3 yard pass from Jay Schroeder (Jeff Jaeger kick),35,24
9,4.0,Lions,Rodney Peete 6 yard rush (Eddie Murray kick),35,31
10,4.0,Raiders,Jeff Jaeger 37 yard field goal,38,31
