,Quarter,Tm,Detail,CIN,CHI
0,1,Bengals,Derrick Fenner 2 yard rush (Jim Breech kick),7,0
1,1,Bears,Darren Lewis 15 yard rush (Kevin Butler kick),7,7
2,2,Bears,Anthony Morgan 46 yard pass from Jim Harbaugh (Kevin Butler kick),7,14
3,2,Bears,Mark Green 1 yard rush (Kevin Butler kick),7,21
4,3,Bengals,Eric Ball 35 yard pass from Boomer Esiason (Jim Breech kick),14,21
5,3,Bears,Darren Lewis 97 yard kickoff return (Kevin Butler kick),14,28
6,3,Bengals,Craig Thompson 1 yard pass from Boomer Esiason (Jim Breech kick),21,28
7,4,Bengals,Carl Pickens 23 yard pass from Boomer Esiason (Jim Breech kick),28,28
8,OT,Bengals,Jim Breech 36 yard field goal,31,28
