,Quarter,Tm,Detail,FRN,NYG
0,2.0,Giants,Mule Wilson 2 yard rush (Jack McBride kick),0,7
1,2.0,Giants,Mule Wilson 40 yard pass from Jack McBride,0,14
2,2.0,Giants,Phil White 16 yard rush (Jack McBride kick),0,20
3,4.0,Giants,Hinkey Haines 20 yard pass from Jack McBride (Jack McBride kick),0,27
