,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Augie Lio 36 yard field goal,3,0
1,1.0,Eagles,Gil Steinke 52 yard interception return (Augie Lio kick),10,0
2,1.0,Giants,Jim Poole 11 yard pass from Frank Filchock (Ken Strong kick),10,7
3,2.0,Giants,Ken Strong 13 yard field goal,10,10
4,2.0,Giants,Bill Paschal 3 yard rush (Ken Strong kick),10,17
5,2.0,Giants,Merle Hapes 17 yard rush (Ken Strong kick),10,24
6,3.0,Giants,Jim Poole 31 yard pass from Frank Filchock (Ken Strong kick),10,31
7,4.0,Giants,Frank Reagan 2 yard rush (Ken Strong kick),10,38
8,4.0,Eagles,Dick Humbert 14 yard pass from Allie Sherman (Augie Lio kick),17,38
9,4.0,Giants,John Weiss 35 yard pass from Emery Nix (Ken Strong kick),17,45
