,Quarter,Tm,Detail,MIN,HOU
0,1.0,Vikings,Joe Senser 3 yard pass from Tommy Kramer,6,0
1,1.0,Oilers,Toni Fritsch 23 yard field goal,6,3
2,2.0,Vikings,Joe Senser 3 yard pass from Tommy Kramer (Rick Danmeier kick),13,3
3,3.0,Oilers,Dave Casper 7 yard pass from Ken Stabler (Toni Fritsch kick),13,10
4,3.0,Oilers,Toni Fritsch 31 yard field goal,13,13
5,4.0,Vikings,Rick Danmeier 38 yard field goal,16,13
6,4.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),16,20
