,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,,Dolphins,Olindo Mare 23 yard field goal,0,3
1,2.0,,Colts,Elijah Alexander 43 yard interception return (Cary Blanchard kick),7,3
2,2.0,,Dolphins,Karim Abdul-Jabbar 9 yard rush (Olindo Mare kick),7,10
3,3.0,,Dolphins,Olindo Mare 34 yard field goal,7,13
4,4.0,,Dolphins,Olindo Mare 18 yard field goal,7,16
5,4.0,,Colts,Cary Blanchard 35 yard field goal,10,16
