,Quarter,Tm,Detail,IND,PHO
0,1.0,Colts,Dean Biasucci 49 yard field goal,3,0
1,1.0,Colts,Anthony Johnson 15 yard pass from Jeff George (Dean Biasucci kick),10,0
2,2.0,Cardinals,Al Del Greco 32 yard field goal,10,3
3,2.0,Cardinals,Al Del Greco 39 yard field goal,10,6
4,3.0,Colts,Jessie Hester 6 yard pass from Jeff George (Dean Biasucci kick),17,6
5,4.0,Cardinals,Timm Rosenbach 1 yard rush (Al Del Greco kick),17,13
6,4.0,Cardinals,Marcus Turner 21 yard interception return (Al Del Greco kick),17,20
