,Quarter,Tm,Detail,GNB,SFO
0,2.0,49ers,Bernie Casey 51 yard pass from John Brodie (Tommy Davis kick),0,7
1,2.0,49ers,R.C. Owens 10 yard pass from John Brodie (Tommy Davis kick),0,14
2,2.0,Packers,Max McGee 22 yard pass from Tom Moore (Paul Hornung kick),7,14
3,3.0,49ers,"Safety, Starr tackled in end zone by Krueger",7,16
4,3.0,Packers,Max McGee 12 yard pass from Bart Starr (Paul Hornung kick),14,16
5,4.0,49ers,Tommy Davis 40 yard field goal,14,19
6,4.0,Packers,Jim Taylor 40 yard rush (Paul Hornung kick),21,19
7,4.0,49ers,Tommy Davis 14 yard field goal,21,22
