,Quarter,Tm,Detail,GNB,OAK
0,1.0,Packers,Ken Payne 57 yard pass from Lynn Dickey (Chester Marcol kick),7,0
1,2.0,Raiders,Dave Casper 27 yard pass from Ken Stabler,7,6
2,2.0,Raiders,Cliff Branch 88 yard pass from Ken Stabler,7,12
3,2.0,Raiders,Fred Biletnikoff 10 yard pass from Ken Stabler,7,18
4,4.0,Packers,Willard Harrell 4 yard rush (Chester Marcol kick),14,18
