,Quarter,Time,Tm,Detail,STL,IND
0,1.0,,Rams,Isaac Bruce 4 yard pass from Chris Miller (Steve McLaughlin kick),7,0
1,1.0,,Colts,Marshall Faulk 32 yard rush (Mike Cofer kick),7,7
2,2.0,4:34,Rams,Steve McLaughlin 29 yard field goal,10,7
3,2.0,4:34,Colts,Marshall Faulk 33 yard rush (Mike Cofer kick),10,14
4,3.0,4:34,Colts,Marshall Faulk 1 yard rush (Mike Cofer kick),10,21
5,4.0,4:34,Rams,Isaac Bruce 34 yard pass from Chris Miller (Isaac Bruce pass from Chris Miller),18,21
