,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,,Buccaneers,Michael Husted 22 yard field goal,0,3
1,2.0,,Buccaneers,Horace Copeland 9 yard pass from Trent Dilfer (Michael Husted kick),0,10
2,2.0,,Buccaneers,Michael Husted 42 yard field goal,0,13
3,3.0,,Buccaneers,Mike Alstott 31 yard rush (Michael Husted kick),0,20
4,3.0,,Lions,Jason Hanson 33 yard field goal,3,20
5,4.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),10,20
