,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Mike Strachan 2 yard rush (Garo Yepremian kick),7,0
1,2.0,Saints,Chuck Muncie 14 yard rush (Garo Yepremian kick),14,0
2,2.0,Saints,Tony Galbreath 1 yard rush (Garo Yepremian kick),21,0
3,2.0,Saints,Garo Yepremian 23 yard field goal,24,0
4,2.0,Falcons,William Andrews 2 yard rush,24,6
5,2.0,Saints,Garo Yepremian 44 yard field goal,27,6
6,4.0,Saints,Henry Childs 37 yard pass from Archie Manning (Garo Yepremian kick),34,6
7,4.0,Saints,Garo Yepremian 21 yard field goal,37,6
