,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Willie Asbury 25 yard rush (Mike Clark kick),7,0
1,1.0,Eagles,Izzy Lang 5 yard pass from Norm Snead (Sam Baker kick),7,7
2,2.0,Eagles,Sam Baker 36 yard field goal,7,10
3,2.0,Eagles,Ben Hawkins 29 yard pass from Norm Snead (Sam Baker kick),7,17
4,2.0,Steelers,Dick Hoak 4 yard rush (Mike Clark kick),14,17
5,2.0,Eagles,Jim Kelly 4 yard pass from Norm Snead (Sam Baker kick),14,24
6,3.0,Steelers,Mike Clark 24 yard field goal,17,24
7,4.0,Steelers,J.R. Wilburn 18 yard pass from Kent Nix (Mike Clark kick),24,24
8,4.0,Eagles,Ben Hawkins 8 yard pass from Norm Snead (Sam Baker kick),24,31
9,4.0,Eagles,Sam Baker 35 yard field goal,24,34
