,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Norm Johnson 42 yard field goal,0,3
1,1.0,Seahawks,Norm Johnson 18 yard field goal,0,6
2,2.0,Broncos,Rich Karlis 38 yard field goal,3,6
3,3.0,Seahawks,Steve Largent 14 yard pass from Dave Krieg (Norm Johnson kick),3,13
4,3.0,Seahawks,Paul Johns 30 yard pass from Dave Krieg (Norm Johnson kick),3,20
5,3.0,Broncos,Sammy Winder 1 yard rush,9,20
6,4.0,Broncos,Rich Karlis 43 yard field goal,12,20
7,4.0,Seahawks,Dave Krieg 10 yard rush (Norm Johnson kick),12,27
8,4.0,Broncos,Steve Watson 25 yard pass from John Elway (Rich Karlis kick),19,27
