,Quarter,Tm,Detail,SDG,CIN
0,1.0,Bengals,Wade Russell 4 yard pass from Adrian Breen (Massimo Manca kick),0,7
1,2.0,Bengals,"Safety, Schutt tackled Neuheisel in end zone",0,9
2,4.0,Chargers,Frank Middleton 1 yard rush (Rick Neuheisel run),7,9
3,4.0,Chargers,Jeff Gaffney 24 yard field goal,10,9
